zip_code,refnis,pop_dens,income_1y,income_17y,province,commune
1000,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles
1020,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles
1030,21015,16504,14931.3,11765.45,Bruxelles,Schaerbeek
1040,21005,15681,18010.01,14054.76,Bruxelles,Etterbeek
1050,21009,13925,20531.96,15448.73,Bruxelles,Ixelles
1060,21013,19454,16719.87,12410.34,Bruxelles,Saint-Gilles
1070,21001,7066,13578.3,11679.31,Bruxelles,Anderlecht
1080,21012,16351,12608.65,10354.29,Bruxelles,Molenbeek-Saint-Jean
1081,21011,19161,14569.18,12667.51,Bruxelles,Koekelberg
1082,21003,8741,17842.49,15431.52,Bruxelles,Berchem-Sainte-Agathe
1083,21008,10487,17259.55,15141.22,Bruxelles,Ganshoren
1090,21010,10426,17226.63,14763.67,Bruxelles,Jette
1120,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles
1130,21004,5948,15365.29,12417.6,Bruxelles,Bruxelles
1140,21006,8826,15962.89,13555.7,Bruxelles,Evere
1150,21019,4759,24490.32,19385.21,Bruxelles,Woluwe-Saint-Pierre
1160,21002,3942,22633.83,18015.96,Bruxelles,Auderghem
1170,21017,1950,23441.18,19322.61,Bruxelles,Watermael-Boitsfort
1180,21016,3794,24200.73,19236.1,Bruxelles,Uccle
1190,21007,9224,17638.57,14400.71,Bruxelles,Forest
1200,21018,8332,20266.11,16782.5,Bruxelles,Woluwe-Saint-Lambert
1210,21014,23173,11873.8,8980.9,Bruxelles,Saint-Josse-ten-Noode
1300,25112,844,24372.44,19664.18,Brabant Wallon,Wavre
1301,25112,844,24372.44,19664.18,Brabant Wallon,Wavre
1310,25050,485,27054.39,21347.76,Brabant Wallon,La Hulpe
1315,25043,145,24663.08,19753.04,Brabant Wallon,Incourt
1320,25005,187,26011.94,20642.11,Brabant Wallon,Beauvechain
1325,25018,244,29066.0,22295.19,Brabant Wallon,Chaumont-Gistoux
1330,25091,1315,26878.1,21446.86,Brabant Wallon,Rixensart
1331,25091,1315,26878.1,21446.86,Brabant Wallon,Rixensart
1332,25091,1315,26878.1,21446.86,Brabant Wallon,Rixensart
1340,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve
1341,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve
1342,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve
1348,25121,947,22936.74,18472.28,Brabant Wallon,Ottignies-Louvain-la-Neuve
1350,25120,179,23571.52,18681.5,Brabant Wallon,Orp-Jauche
1357,25118,226,22660.27,18358.72,Brabant Wallon,Hélécine
1360,25084,189,24213.09,19277.89,Brabant Wallon,Perwez
1367,25122,136,23370.27,18647.34,Brabant Wallon,Ramillies
1370,25048,202,23205.5,18732.7,Brabant Wallon,Jodoigne
1380,25119,298,30525.78,24462.36,Brabant Wallon,Lasne
1390,25037,253,26823.58,21265.37,Brabant Wallon,Grez-Doiceau
1400,25072,477,24589.19,19687.81,Brabant Wallon,Nivelles
1401,25072,477,24589.19,19687.81,Brabant Wallon,Nivelles
1402,25072,477,24589.19,19687.81,Brabant Wallon,Nivelles
1404,25072,477,24589.19,19687.81,Brabant Wallon,Nivelles
1410,25110,1434,27684.57,21106.8,Brabant Wallon,Waterloo
1420,25014,773,25437.44,20394.34,Brabant Wallon,Braine-l’Alleud
1421,25014,773,25437.44,20394.34,Brabant Wallon,Braine-l’Alleud
1428,25014,773,25437.44,20394.34,Brabant Wallon,Braine-l’Alleud
1430,25123,283,21790.05,17682.38,Brabant Wallon,Rebecq
1435,25068,448,25432.71,20314.57,Brabant Wallon,Mont-Saint-Guibert
1440,25015,467,25255.22,19858.39,Brabant Wallon,Braine-le-Château
1450,25117,244,25327.1,19797.71,Brabant Wallon,Chastre
1457,25124,199,25952.55,20968.88,Brabant Wallon,Walhain
1460,25044,200,25029.65,19611.96,Brabant Wallon,Ittre
1461,25044,200,25029.65,19611.96,Brabant Wallon,Ittre
1470,25031,177,25255.12,19876.67,Brabant Wallon,Genappe
1471,25031,177,25255.12,19876.67,Brabant Wallon,Genappe
1472,25031,177,25255.12,19876.67,Brabant Wallon,Genappe
1473,25031,177,25255.12,19876.67,Brabant Wallon,Genappe
1474,25031,177,25255.12,19876.67,Brabant Wallon,Genappe
1476,25031,177,25255.12,19876.67,Brabant Wallon,Genappe
1480,25105,866,19744.71,16087.89,Brabant Wallon,Tubize
1490,25023,403,23709.85,19240.58,Brabant Wallon,Court-Saint-Etienne
1495,25107,231,24928.93,19697.49,Brabant Wallon,Villers-la-Ville
1500,23027,946,22785.31,18683.38,Vlaams Brabant,Halle
1501,23027,946,22785.31,18683.38,Vlaams Brabant,Halle
1502,23027,946,22785.31,18683.38,Vlaams Brabant,Halle
1540,23032,152,25480.52,20238.4,Vlaams Brabant,Herne
1541,23032,152,25480.52,20238.4,Vlaams Brabant,Herne
1547,23009,118,24184.24,19257.5,Vlaams Brabant,Bever
1560,23033,566,27451.74,21270.31,Vlaams Brabant,Hoeilaart
1570,23023,253,25262.95,20158.12,Vlaams Brabant,Galmaarden
1600,23077,898,20983.75,17807.82,Vlaams Brabant,Sint-Pieters-Leeuw
1601,23077,898,20983.75,17807.82,Vlaams Brabant,Sint-Pieters-Leeuw
1602,23077,898,20983.75,17807.82,Vlaams Brabant,Sint-Pieters-Leeuw
1620,23098,2381,19553.91,16239.63,Vlaams Brabant,Drogenbos
1630,23100,1115,26694.18,21175.59,Vlaams Brabant,Linkebeek
1640,23101,821,28711.0,22986.73,Vlaams Brabant,Sint-Genesius-Rode
1650,23003,871,24929.72,20595.92,Vlaams Brabant,Beersel
1651,23003,871,24929.72,20595.92,Vlaams Brabant,Beersel
1652,23003,871,24929.72,20595.92,Vlaams Brabant,Beersel
1653,23003,871,24929.72,20595.92,Vlaams Brabant,Beersel
1654,23003,871,24929.72,20595.92,Vlaams Brabant,Beersel
1670,23064,127,26616.74,20998.74,Vlaams Brabant,Pepingen
1671,23064,127,26616.74,20998.74,Vlaams Brabant,Pepingen
1673,23064,127,26616.74,20998.74,Vlaams Brabant,Pepingen
1674,23064,127,26616.74,20998.74,Vlaams Brabant,Pepingen
1700,23016,1081,24877.0,20855.89,Vlaams Brabant,Dilbeek
1701,23016,1081,24877.0,20855.89,Vlaams Brabant,Dilbeek
1702,23016,1081,24877.0,20855.89,Vlaams Brabant,Dilbeek
1703,23016,1081,24877.0,20855.89,Vlaams Brabant,Dilbeek
1730,23002,711,22710.06,19301.76,Vlaams Brabant,Asse
1731,23002,711,22710.06,19301.76,Vlaams Brabant,Asse
1740,23086,670,24935.85,20823.33,Vlaams Brabant,Ternat
1741,23086,670,24935.85,20823.33,Vlaams Brabant,Ternat
1742,23086,670,24935.85,20823.33,Vlaams Brabant,Ternat
1745,23060,746,25203.01,20377.82,Vlaams Brabant,Opwijk
1750,23104,304,26911.93,21862.64,Vlaams Brabant,Lennik
1755,23024,236,25889.08,20720.38,Vlaams Brabant,Gooik
1760,23097,545,25981.99,20403.09,Vlaams Brabant,Roosdaal
1761,23097,545,25981.99,20403.09,Vlaams Brabant,Roosdaal
1770,23044,1377,22369.88,18430.83,Vlaams Brabant,Liedekerke
1780,23102,2072,23592.69,20405.8,Vlaams Brabant,Wemmel
1785,23052,488,25280.5,20639.16,Vlaams Brabant,Merchtem
1790,23105,761,25337.44,20513.41,Vlaams Brabant,Affligem
1800,23088,2199,20046.02,16989.69,Vlaams Brabant,Vilvoorde
1804,23096,541,28445.64,22656.55,Vlaams Brabant,Zemst
1820,23081,535,25565.08,21333.82,Vlaams Brabant,Steenokkerzeel
1830,23047,1441,18827.82,16330.13,Vlaams Brabant,Machelen
1831,23047,1441,18827.82,16330.13,Vlaams Brabant,Machelen
1840,23045,531,25708.21,20547.24,Vlaams Brabant,Londerzeel
1850,23025,1030,24858.9,20965.19,Vlaams Brabant,Grimbergen
1851,23025,1030,24858.9,20965.19,Vlaams Brabant,Grimbergen
1852,23025,1030,24858.9,20965.19,Vlaams Brabant,Grimbergen
1853,23025,1030,24858.9,20965.19,Vlaams Brabant,Grimbergen
1860,23050,578,27524.56,22631.19,Vlaams Brabant,Meise
1861,23050,578,27524.56,22631.19,Vlaams Brabant,Meise
1880,23039,631,26298.44,20909.94,Vlaams Brabant,Kapelle-op-den-Bos
1910,23038,372,27636.23,22033.65,Vlaams Brabant,Kampenhout
1930,23094,1322,22176.53,18322.3,Vlaams Brabant,Zaventem
1931,23047,1441,18827.82,16330.13,Vlaams Brabant,Machelen
1932,23094,1322,22176.53,18322.3,Vlaams Brabant,Zaventem
1933,23094,1322,22176.53,18322.3,Vlaams Brabant,Zaventem
1950,23099,2392,25433.14,20467.97,Vlaams Brabant,Kraainem
1970,23103,2147,26883.9,21359.09,Vlaams Brabant,Wezembeek-Oppem
1980,23096,541,28445.64,22656.55,Vlaams Brabant,Zemst
1981,23096,541,28445.64,22656.55,Vlaams Brabant,Zemst
1982,23096,541,28445.64,22656.55,Vlaams Brabant,Zemst
2000,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2018,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2020,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2030,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2040,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2050,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2060,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2070,11056,967,22994.36,19460.56,Antwerpen,Zwijndrecht
2100,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2110,11050,1342,23956.07,19648.59,Antwerpen,Wijnegem
2140,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2150,11007,2916,21435.22,18364.06,Antwerpen,Borsbeek
2160,11052,1028,24004.7,19364.93,Antwerpen,Wommelgem
2170,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2180,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2200,13011,602,23908.89,18842.91,Antwerpen,Herentals
2220,12014,513,23881.25,18677.99,Antwerpen,Heist-op-den-Berg
2221,12014,513,23881.25,18677.99,Antwerpen,Heist-op-den-Berg
2222,12014,513,23881.25,18677.99,Antwerpen,Heist-op-den-Berg
2223,12014,513,23881.25,18677.99,Antwerpen,Heist-op-den-Berg
2230,13013,283,23645.16,18382.35,Antwerpen,Herselt
2235,13016,609,23646.98,18510.63,Antwerpen,Hulshout
2240,11054,335,25037.23,19828.07,Antwerpen,Zandhoven
2242,11054,335,25037.23,19828.07,Antwerpen,Zandhoven
2243,11054,335,25037.23,19828.07,Antwerpen,Zandhoven
2250,13029,554,23555.18,18707.4,Antwerpen,Olen
2260,13049,462,23839.9,18935.55,Antwerpen,Westerlo
2270,13012,400,22972.89,18036.22,Antwerpen,Herenthout
2275,13019,285,23601.75,18547.9,Antwerpen,Lille
2280,13010,409,24857.76,19585.19,Antwerpen,Grobbendonk
2288,13010,409,24857.76,19585.19,Antwerpen,Grobbendonk
2290,13044,290,23511.14,18462.23,Antwerpen,Vorselaar
2300,13040,834,20234.53,17107.53,Antwerpen,Turnhout
2310,13037,268,21960.94,16988.67,Antwerpen,Rijkevorsel
2320,13014,211,21812.44,17245.92,Antwerpen,Hoogstraten
2321,13014,211,21812.44,17245.92,Antwerpen,Hoogstraten
2322,13014,211,21812.44,17245.92,Antwerpen,Hoogstraten
2323,13014,211,21812.44,17245.92,Antwerpen,Hoogstraten
2328,13014,211,21812.44,17245.92,Antwerpen,Hoogstraten
2330,13023,199,22583.46,17658.08,Antwerpen,Merksplas
2340,13004,497,24453.5,19113.99,Antwerpen,Beerse
2350,13046,997,24933.09,20632.95,Antwerpen,Vosselaar
2360,13031,378,24084.92,19597.56,Antwerpen,Oud-Turnhout
2370,13001,242,21614.43,16857.92,Antwerpen,Arendonk
2380,13035,163,20786.33,16675.36,Antwerpen,Ravels
2381,13035,163,20786.33,16675.36,Antwerpen,Ravels
2382,13035,163,20786.33,16675.36,Antwerpen,Ravels
2387,13002,404,19932.23,15313.68,Antwerpen,Baarle-Hertog
2390,11057,312,24352.95,18778.48,Antwerpen,Malle
2400,13025,336,23240.02,18410.54,Antwerpen,Mol
2430,13053,394,23466.46,18330.72,Antwerpen,Laakdal
2431,13053,394,23466.46,18330.72,Antwerpen,Laakdal
2440,13008,384,23688.28,18891.41,Antwerpen,Geel
2450,13021,284,23250.52,18274.81,Antwerpen,Meerhout
2460,13017,271,24659.04,19279.37,Antwerpen,Kasterlee
2470,13036,244,24082.45,17809.39,Antwerpen,Retie
2480,13006,360,21966.27,17517.08,Antwerpen,Dessel
2490,13003,322,22642.61,17849.82,Antwerpen,Balen
2491,13003,322,22642.61,17849.82,Antwerpen,Balen
2500,12021,766,23739.15,19013.15,Antwerpen,Lier
2520,11035,452,26093.33,20440.41,Antwerpen,Ranst
2530,11004,667,27017.12,21035.58,Antwerpen,Boechout
2531,11004,667,27017.12,21035.58,Antwerpen,Boechout
2540,11021,1396,30827.26,24366.52,Antwerpen,Hove
2547,11025,1505,27922.9,21228.14,Antwerpen,Lint
2550,11024,911,27583.79,21525.19,Antwerpen,Kontich
2560,12026,604,24079.55,18645.63,Antwerpen,Nijlen
2570,12009,799,24905.65,19679.16,Antwerpen,Duffel
2580,12029,537,24984.48,19256.49,Antwerpen,Putte
2590,12002,491,23433.12,18494.53,Antwerpen,Berlaar
2600,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2610,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2620,11018,2261,22469.4,18146.52,Antwerpen,Hemiksem
2627,11038,1100,24740.52,19689.98,Antwerpen,Schelle
2630,11001,1351,27086.4,22422.2,Antwerpen,Aartselaar
2640,11029,3415,24519.33,20079.54,Antwerpen,Mortsel
2650,11013,2639,26633.14,21925.96,Antwerpen,Edegem
2660,11002,2666,19091.86,15580.68,Antwerpen,Antwerpen
2800,12025,1357,22812.05,18311.57,Antwerpen,Mechelen
2801,12025,1357,22812.05,18311.57,Antwerpen,Mechelen
2811,12025,1357,22812.05,18311.57,Antwerpen,Mechelen
2812,12025,1357,22812.05,18311.57,Antwerpen,Mechelen
2820,12005,529,29606.74,23307.34,Antwerpen,Bonheiden
2830,12040,1032,21746.33,17749.11,Antwerpen,Willebroek
2840,11037,771,25537.73,20367.37,Antwerpen,Rumst
2845,11030,2051,22249.06,17566.61,Antwerpen,Niel
2850,11005,2632,20251.22,16712.42,Antwerpen,Boom
2860,12035,602,25334.74,19923.95,Antwerpen,Sint-Katelijne-Waver
2861,12035,602,25334.74,19923.95,Antwerpen,Sint-Katelijne-Waver
2870,12041,548,25704.18,20023.93,Antwerpen,Puurs-Sint-Amands
2880,12007,477,26108.87,20239.77,Antwerpen,Bornem
2890,12041,548,25704.18,20023.93,Antwerpen,Puurs-Sint-Amands
2900,11040,1173,25664.51,20198.71,Antwerpen,Schoten
2910,11016,412,22312.13,17379.93,Antwerpen,Essen
2920,11022,331,25680.52,19582.68,Antwerpen,Kalmthout
2930,11008,997,26412.35,21408.75,Antwerpen,Brasschaat
2940,11044,878,25574.96,20253.96,Antwerpen,Stabroek
2950,11023,746,28045.67,21860.53,Antwerpen,Kapellen
2960,11009,334,24991.85,19547.04,Antwerpen,Brecht
2970,11039,563,30192.6,23788.93,Antwerpen,Schilde
2980,11055,583,26330.41,20884.37,Antwerpen,Zoersel
2990,11053,243,23180.22,17921.28,Antwerpen,Wuustwezel
3000,24062,1808,24821.1,19934.21,Vlaams Brabant,Leuven
3001,24062,1808,24821.1,19934.21,Vlaams Brabant,Leuven
3010,24062,1808,24821.1,19934.21,Vlaams Brabant,Leuven
3012,24062,1808,24821.1,19934.21,Vlaams Brabant,Leuven
3018,24062,1808,24821.1,19934.21,Vlaams Brabant,Leuven
3020,24038,702,28925.06,23165.17,Vlaams Brabant,Herent
3040,24045,252,27628.94,21537.58,Vlaams Brabant,Huldenberg
3050,24086,367,31285.03,24575.02,Vlaams Brabant,Oud-Heverlee
3051,24086,367,31285.03,24575.02,Vlaams Brabant,Oud-Heverlee
3052,24086,367,31285.03,24575.02,Vlaams Brabant,Oud-Heverlee
3053,24086,367,31285.03,24575.02,Vlaams Brabant,Oud-Heverlee
3054,24086,367,31285.03,24575.02,Vlaams Brabant,Oud-Heverlee
3060,24009,341,28303.05,21940.87,Vlaams Brabant,Bertem
3061,24009,341,28303.05,21940.87,Vlaams Brabant,Bertem
3070,24055,609,27002.25,21688.85,Vlaams Brabant,Kortenberg
3071,24055,609,27002.25,21688.85,Vlaams Brabant,Kortenberg
3078,24055,609,27002.25,21688.85,Vlaams Brabant,Kortenberg
3080,24104,686,28176.62,21473.42,Vlaams Brabant,Tervuren
3090,23062,577,28285.52,21928.57,Vlaams Brabant,Overijse
3110,24094,474,27765.98,21719.3,Vlaams Brabant,Rotselaar
3111,24094,474,27765.98,21719.3,Vlaams Brabant,Rotselaar
3118,24094,474,27765.98,21719.3,Vlaams Brabant,Rotselaar
3120,24109,704,26648.68,20506.4,Vlaams Brabant,Tremelo
3128,24109,704,26648.68,20506.4,Vlaams Brabant,Tremelo
3130,24007,601,25485.27,20073.22,Vlaams Brabant,Begijnendijk
3140,24048,717,32128.69,25261.07,Vlaams Brabant,Keerbergen
3150,24033,504,27203.02,21111.78,Vlaams Brabant,Haacht
3190,24014,711,27470.88,22328.41,Vlaams Brabant,Boortmeerbeek
3191,24014,711,27470.88,22328.41,Vlaams Brabant,Boortmeerbeek
3200,24001,493,24933.56,19625.02,Vlaams Brabant,Aarschot
3201,24001,493,24933.56,19625.02,Vlaams Brabant,Aarschot
3202,24001,493,24933.56,19625.02,Vlaams Brabant,Aarschot
3210,24066,334,28627.58,23203.78,Vlaams Brabant,Lubbeek
3211,24066,334,28627.58,23203.78,Vlaams Brabant,Lubbeek
3212,24066,334,28627.58,23203.78,Vlaams Brabant,Lubbeek
3220,24043,263,28393.85,21751.44,Vlaams Brabant,Holsbeek
3221,24043,263,28393.85,21751.44,Vlaams Brabant,Holsbeek
3270,24134,469,23861.91,18919.87,Vlaams Brabant,Scherpenheuvel-Zichem
3271,24134,469,23861.91,18919.87,Vlaams Brabant,Scherpenheuvel-Zichem
3272,24134,469,23861.91,18919.87,Vlaams Brabant,Scherpenheuvel-Zichem
3290,24020,425,24169.74,19206.45,Vlaams Brabant,Diest
3293,24020,425,24169.74,19206.45,Vlaams Brabant,Diest
3294,24020,425,24169.74,19206.45,Vlaams Brabant,Diest
3300,24107,502,22889.08,18742.97,Vlaams Brabant,Tienen
3320,24041,201,27160.94,21069.02,Vlaams Brabant,Hoegaarden
3321,24041,201,27160.94,21069.02,Vlaams Brabant,Hoegaarden
3350,24133,198,24602.13,19270.11,Vlaams Brabant,Linter
3360,24011,270,29279.98,23250.54,Vlaams Brabant,Bierbeek
3370,24016,277,27705.39,21607.85,Vlaams Brabant,Boutersem
3380,24137,200,26105.77,19963.57,Vlaams Brabant,Glabbeek
3381,24137,200,26105.77,19963.57,Vlaams Brabant,Glabbeek
3384,24137,200,26105.77,19963.57,Vlaams Brabant,Glabbeek
3390,24135,260,25138.12,20028.45,Vlaams Brabant,Tielt-Winge
3391,24135,260,25138.12,20028.45,Vlaams Brabant,Tielt-Winge
3400,24059,307,24093.77,19221.99,Vlaams Brabant,Landen
3401,24059,307,24093.77,19221.99,Vlaams Brabant,Landen
3404,24059,307,24093.77,19221.99,Vlaams Brabant,Landen
3440,24130,186,23828.13,18660.04,Vlaams Brabant,Zoutleeuw
3450,24028,176,22586.23,17837.92,Vlaams Brabant,Geetbets
3454,24028,176,22586.23,17837.92,Vlaams Brabant,Geetbets
3460,24008,181,24499.18,18991.56,Vlaams Brabant,Bekkevoort
3461,24008,181,24499.18,18991.56,Vlaams Brabant,Bekkevoort
3470,24054,160,24101.22,18632.91,Vlaams Brabant,Kortenaken
3471,24054,160,24101.22,18632.91,Vlaams Brabant,Kortenaken
3472,24054,160,24101.22,18632.91,Vlaams Brabant,Kortenaken
3473,24054,160,24101.22,18632.91,Vlaams Brabant,Kortenaken
3500,71022,787,24621.15,19559.57,Limburg,Hasselt
3501,71022,787,24621.15,19559.57,Limburg,Hasselt
3510,71022,787,24621.15,19559.57,Limburg,Hasselt
3511,71022,787,24621.15,19559.57,Limburg,Hasselt
3512,71022,787,24621.15,19559.57,Limburg,Hasselt
3520,71066,550,23768.16,18336.69,Limburg,Zonhoven
3530,72039,394,20225.24,15858.86,Limburg,Houthalen-Helchteren
3540,71024,298,24234.73,18753.94,Limburg,Herk-de-Stad
3545,71020,260,24175.9,18255.48,Limburg,Halen
3550,71070,655,20938.51,16538.53,Limburg,Heusden-Zolder
3560,71037,285,24053.78,18772.7,Limburg,Lummen
3570,73001,422,24384.62,18856.78,Limburg,Alken
3580,71004,615,20786.4,16413.61,Limburg,Beringen
3581,71004,615,20786.4,16413.61,Limburg,Beringen
3582,71004,615,20786.4,16413.61,Limburg,Beringen
3583,71004,615,20786.4,16413.61,Limburg,Beringen
3590,71011,473,23655.56,18572.3,Limburg,Diepenbeek
3600,71016,775,19965.99,15723.88,Limburg,Genk
3620,73042,447,22354.28,17683.41,Limburg,Lanaken
3621,73042,447,22354.28,17683.41,Limburg,Lanaken
3630,73107,523,18883.51,14962.61,Limburg,Maasmechelen
3631,73107,523,18883.51,14962.61,Limburg,Maasmechelen
3640,72018,226,20706.29,16020.61,Limburg,Kinrooi
3650,72041,323,20663.54,16168.22,Limburg,Dilsen-Stokkem
3660,72042,205,22254.58,17147.44,Limburg,Oudsbergen
3665,71002,373,23316.32,17869.51,Limburg,As
3668,71002,373,23316.32,17869.51,Limburg,As
3670,72042,205,22254.58,17147.44,Limburg,Oudsbergen
3680,72021,334,21848.04,17029.35,Limburg,Maaseik
3690,71067,229,23530.55,18417.69,Limburg,Zutendaal
3700,73083,365,22066.48,17722.74,Limburg,Tongeren
3717,73028,56,24952.98,19403.11,Limburg,Herstappe
3720,73040,257,23556.18,18589.12,Limburg,Kortessem
3721,73040,257,23556.18,18589.12,Limburg,Kortessem
3722,73040,257,23556.18,18589.12,Limburg,Kortessem
3723,73040,257,23556.18,18589.12,Limburg,Kortessem
3724,73040,257,23556.18,18589.12,Limburg,Kortessem
3730,73032,334,23188.06,17829.95,Limburg,Hoeselt
3732,73032,334,23188.06,17829.95,Limburg,Hoeselt
3740,73006,431,22571.2,17468.52,Limburg,Bilzen
3742,73006,431,22571.2,17468.52,Limburg,Bilzen
3746,73006,431,22571.2,17468.52,Limburg,Bilzen
3770,73066,291,22170.21,17096.59,Limburg,Riemst
3790,73109,87,22148.54,16744.09,Limburg,Voeren
3791,73109,87,22148.54,16744.09,Limburg,Voeren
3792,73109,87,22148.54,16744.09,Limburg,Voeren
3793,73109,87,22148.54,16744.09,Limburg,Voeren
3798,73109,87,22148.54,16744.09,Limburg,Voeren
3800,71053,387,22567.37,17966.91,Limburg,Sint-Truiden
3803,71053,387,22567.37,17966.91,Limburg,Sint-Truiden
3806,71053,387,22567.37,17966.91,Limburg,Sint-Truiden
3830,73098,279,23988.46,18250.51,Limburg,Wellen
3831,73098,279,23988.46,18250.51,Limburg,Wellen
3832,73098,279,23988.46,18250.51,Limburg,Wellen
3840,73009,225,22523.51,17823.75,Limburg,Borgloon
3850,71045,324,22765.08,17812.75,Limburg,Nieuwerkerken
3870,73022,143,22128.23,17175.85,Limburg,Heers
3890,71017,154,23787.95,18443.85,Limburg,Gingelom
3891,71017,154,23787.95,18443.85,Limburg,Gingelom
3900,72043,410,21613.6,17148.03,Limburg,Pelt
3910,72043,410,21613.6,17148.03,Limburg,Pelt
3920,72020,341,21722.98,17058.86,Limburg,Lommel
3930,72037,331,20487.83,15948.24,Limburg,Hamont-Achel
3940,72038,169,21425.87,17013.51,Limburg,Hechtel-Eksel
3941,72038,169,21425.87,17013.51,Limburg,Hechtel-Eksel
3945,71069,345,22952.89,17798.19,Limburg,Ham
3950,72003,231,20631.39,16127.87,Limburg,Bocholt
3960,72004,261,21678.31,17107.92,Limburg,Bree
